,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
103,0500000US20091,"Johnson County, Kansas",326916,0.5,5.4,7.1,3.3,10.4,5.4,2.6,11.9,16.8,22.4,7.3,4,2.9,20,091
104,0500000US36005,"Bronx County, New York",599204,0.2,4.8,3.3,1.6,11.2,8.5,1.3,6.2,9.2,32.4,11.8,5.3,3.9,36,005
105,0500000US36119,"Westchester County, New York",485840,0.3,6.1,3.3,2.4,7.9,4.9,3.1,10.5,13.6,29.1,9.3,5.1,4.5,36,119
106,0500000US34013,"Essex County, New Jersey",390081,0.3,6.3,7,2.4,9.1,8.3,2.7,7.8,14.5,25,7.6,5,4,34,013
107,0500000US34007,"Camden County, New Jersey",246447,0.3,5.8,7.1,3.3,12.6,6.2,2,6.8,11.4,27.2,8.2,4.2,4.9,34,007
108,0500000US36081,"Queens County, New York",1139938,0,7.9,3.2,1.9,9.4,9.6,2.4,7.7,11.6,24.2,11.7,6.3,4.3,36,081
109,0500000US36047,"Kings County, New York",1237382,0.1,5.1,3.1,2.1,8.7,7,4.4,7.3,14.8,28,10.2,5.3,3.9,36,047
110,0500000US36061,"New York County, New York",901880,0.1,2.1,2.5,1.9,6.5,2.8,6.1,16.1,21.6,23.2,10.4,4.4,2.3,36,061
111,0500000US36059,"Nassau County, New York",694792,0.1,5.7,4.1,2.7,9,6,2.7,10.3,13.8,28.8,7.3,4.2,5.1,36,059
112,0500000US36055,"Monroe County, New York",362210,0.3,4,11.4,1.8,11,3.7,2.2,6,12.3,32.8,7.7,3.8,2.8,36,055
113,0500000US36103,"Suffolk County, New York",746408,0.4,7.6,6.9,3,10.8,5.6,2.8,6.8,11.4,27.8,7,4.5,5.3,36,103
114,0500000US36029,"Erie County, New York",450994,0.5,4.7,10,2.1,10.8,4.7,1.8,8.1,10.5,28.1,9.1,4.8,4.7,36,029
115,0500000US37119,"Mecklenburg County, North Carolina",587011,0.3,6.9,8.3,2.4,10.1,5.9,2.8,13.9,14.9,17.5,10.6,4.3,2.2,37,119
116,0500000US21111,"Jefferson County, Kentucky",383026,0.3,5,11,2.5,10.1,8.2,2,7.9,11.9,23.4,10,4.8,2.8,21,111
117,0500000US37081,"Guilford County, North Carolina",253968,1,4.5,13.2,3.3,11.2,6.4,1.4,6.9,10.4,24.1,8.9,5.1,3.6,37,081
118,0500000US37183,"Wake County, North Carolina",586724,0.4,5.5,8.4,2.1,9.8,4.2,2.8,7.2,20.2,20.7,9,4.9,4.8,37,183
119,0500000US39061,"Hamilton County, Ohio",418318,0.2,4.1,11.8,3,11.1,5.5,2.1,7.6,12.6,24.9,9.3,4.2,3.7,39,061
120,0500000US39049,"Franklin County, Ohio",686173,0.3,4.3,7.4,2.9,12.1,6.7,2,9.7,12.7,24.4,9.8,4.1,3.7,39,049
121,0500000US24510,"Baltimore city, Maryland",286050,0.3,5.2,4.5,1.6,8.8,6.3,1.8,5.7,12.7,30.7,9.2,5.5,7.6,24,510
122,0500000US24033,"Prince George's County, Maryland",484007,0.1,8.5,1.6,1,8.4,6,2,4.6,15.3,23,9.3,6.6,13.3,24,033
123,0500000US24003,"Anne Arundel County, Maryland",293446,0.3,7.4,5,1.8,10.9,4.6,1.8,6.1,15.8,18.8,9.3,5.5,12.7,24,003
124,0500000US24005,"Baltimore County, Maryland",418706,0.3,5.2,5.5,2.1,10,5.1,1.7,8,13.3,28.2,7.7,5.3,7.8,24,005
125,0500000US24031,"Montgomery County, Maryland",572684,0.2,6.5,2.6,1,8,3.1,2.8,6,20.8,21.4,9,7.3,11.3,24,031
126,0500000US25025,"Suffolk County, Massachusetts",443314,0.1,3.9,4.9,1.8,8.7,4,2,8.8,16.8,30.6,10.3,4.7,3.5,25,025
127,0500000US25017,"Middlesex County, Massachusetts",893298,0.3,4.3,9.6,1.7,8.3,2.8,3,7.1,19.1,28.6,7.6,4.3,3.2,25,017
128,0500000US25005,"Bristol County, Massachusetts",284738,0.5,6.7,10.5,3.3,13.2,4.7,1.4,5.9,9.7,26.1,9.5,4.5,3.9,25,005
