,Unnamed: 0,0,NAME,GEO_ID,DP03_0068E,DP03_0069E,DP03_0066E,DP03_0067E,DP03_0064E,DP03_0065E,DP03_0062E,DP03_0063E,DP03_0060E,DP03_0061E,DP03_0070E,DP03_0071E,DP03_0078E,DP03_0079E,DP03_0076E,DP03_0077E,DP03_0074E,DP03_0075E,DP03_0072E,DP03_0073E,DP03_0082E,DP03_0083E,DP03_0080E,DP03_0081E,DP03_0088E,DP03_0089E,DP03_0086E,DP03_0087E,DP03_0084E,DP03_0085E,DP03_0094E,DP03_0092E,DP03_0093E,DP03_0090E,DP03_0091E,DP03_0058E,DP03_0059E,DP03_0056E,DP03_0057E,DP03_0054E,DP03_0055E,DP03_0052E,DP03_0053E,DP03_0051E,state,place,CITY,STATE
467,468,468,"Anchorage municipality, Alaska",1600000US0203000,19999,33196,20853,18231,92924,100998,83648,106660,10317,11881,5066,8601,2268,2952,1198,1308,9770,69667,6722,3549,9632,15985,5691,11864,39291,35618,99797,122823,8707,10062,50549,41701,61121,53789,68678,14662,20536,10470,20686,5430,5407,3318,2578,105285,2,3000,Anchorage municipality, Alaska
468,469,469,"Chandler city, Arizona",1600000US0412000,14307,25546,20808,21023,79603,107091,85527,107192,9697,10642,2616,11104,2179,3357,1876,500,3515,64669,566,2739,9935,14389,5053,9255,39486,27300,100389,120964,8819,9306,54811,43759,61746,53031,69747,14190,18057,8698,13693,5190,5882,3440,2480,91969,4,12000,Chandler, Arizona
469,470,470,"Conway city, Arkansas",1600000US0515190,3821,19622,5454,15467,18367,76918,44569,71243,703,1042,503,7020,1707,793,289,506,1797,12801,301,-999999999,1205,3195,1293,2068,27333,10208,71363,99237,703,1042,31323,29152,45123,26346,33579,2004,3848,2897,3110,3216,2378,2038,1773,23009,5,15190,Conway, Arkansas
470,471,471,"Antioch city, California",1600000US0602252,6535,25488,11690,18017,28724,82696,71466,87132,3314,1836,3168,11970,960,2237,823,989,4671,26224,2569,3648,3225,6127,3198,4393,28538,8294,79961,89886,3084,1188,46386,35613,53842,47947,65926,5122,6733,3215,6149,2281,2906,1138,1824,34518,6,2252,Antioch, California
471,472,472,"Burbank city, California",1600000US0608954,4939,30677,9528,18749,31599,117684,73813,103935,3159,5897,3497,11473,1184,1414,284,470,2140,23847,1150,2743,2874,5171,1843,3752,44359,19213,100326,126235,2271,4584,60496,49202,70931,42375,71783,5295,6951,4004,5635,2741,3963,2918,2497,43060,6,8954,Burbank, California
472,473,473,"Carlsbad city, California",1600000US0611194,9793,45338,13100,24690,34422,142030,103866,142778,5561,9662,1577,10143,978,1120,1580,0,1270,30893,519,13797,2477,5967,2045,3414,56121,14057,127773,164396,4649,8663,82055,52836,100541,71276,91655,4499,8906,3142,6174,2369,2062,2072,503,44950,6,11194,Carlsbad, California
473,474,474,"Corona city, California",1600000US0616350,5166,25698,9794,19181,38839,108989,91304,108882,5536,5105,1796,11842,1590,2105,650,919,2274,35916,1052,5110,4320,8009,3505,5403,30503,8071,96736,112541,5117,4298,48054,40447,54402,52040,80778,5277,9680,4358,6276,1897,2975,1647,1236,43987,6,16350,Corona, California
474,475,475,"Daly City city, California",1600000US0617918,5839,37897,10504,18577,26980,113863,85370,111655,3464,4919,1217,8481,716,763,413,741,1581,21871,479,-999999999,3016,4182,1556,4069,37376,10921,96746,121638,2735,3680,46595,40647,51835,58274,81238,4723,5722,1858,5559,1718,1919,1305,1605,32792,6,17918,Daly City, California
475,476,476,"Fremont city, California",1600000US0626000,10730,31897,16275,19858,68456,166073,136718,162969,11946,24332,3240,11240,1433,1476,913,326,1839,63470,2548,3244,4743,12990,2604,5445,55521,14773,156224,178687,10457,23083,80426,73784,101781,66740,90559,6113,16080,3139,8005,2231,2417,2537,1443,78243,6,26000,Fremont, California
476,477,477,"Laguna Niguel city, California",1600000US0639248,4393,43570,7402,22083,19993,149033,107976,148419,2495,5277,919,14255,379,642,0,194,232,17573,310,-999999999,2595,4420,671,1779,58323,7898,129931,179288,2201,4692,61706,46122,79066,48829,76451,2927,5946,1636,3153,1328,1194,864,651,25471,6,39248,Laguna Niguel, California
