,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
112,"Augusta-Richmond County consolidated government (balance), Georgia",1600000US1304204,95838,91168,156635,91168,-888888888.0,4670,60797,84373,6795,14689,10543,46831,44526,81726,47858,26079,19603,13,04204
113,"Macon-Bibb County, Georgia",1600000US1349008,70068,69971,120473,69971,-888888888.0,97,50405,63939,6032,10143,8207,36895,33368,64826,36895,23015,18247,13,49008
114,"Urban Honolulu CDP, Hawaii",1600000US1571550,191009,183645,291508,183645,-888888888.0,7364,100499,176168,7477,21731,12781,86715,83609,145603,87997,36552,25922,15,71550
115,"Waukegan city, Illinois",1600000US1779293,41589,41319,62858,41319,-888888888.0,270,21269,38778,2541,7562,5145,18661,17369,32163,18772,14168,9320,17,79293
116,"Ankeny city, Iowa",1600000US1902305,39604,39480,51375,39480,-888888888.0,124,11771,38148,1332,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,19,02305
117,"Baton Rouge city, Louisiana",1600000US2205000,114376,114376,179377,114376,-888888888.0,0,65001,106122,8254,14486,11915,59122,55409,95118,59122,28132,22223,22,05000
118,"Lake Charles city, Louisiana",1600000US2241155,35776,35776,61360,35776,-888888888.0,0,25584,33516,2260,6019,3790,17467,16458,31807,17467,10268,6722,22,41155
119,"Cambridge city, Massachusetts",1600000US2511000,73864,73738,106409,73738,-888888888.0,126,32545,70988,2750,6442,4660,34750,33240,54799,34750,6589,5133,25,11000
120,"Worcester city, Massachusetts",1600000US2582000,93299,93164,157017,93164,-888888888.0,135,63718,89021,4143,9461,5793,44290,43292,79424,44425,21990,14313,25,82000
121,"Grand Rapids city, Michigan",1600000US2634000,110643,110643,158117,110643,-888888888.0,0,47474,102939,7704,16653,11777,54387,51271,82566,54387,27089,19160,26,34000
122,"Rochester Hills city, Michigan",1600000US2669035,39093,39056,59349,39056,-888888888.0,37,20256,37986,1070,4596,2592,17576,17170,31387,17576,12701,7716,26,69035
123,"Blaine city, Minnesota",1600000US2706382,36613,36510,50170,36510,-888888888.0,103,13557,35784,726,5545,3924,-999999999,-999999999,-999999999,-999999999,11283,9036,27,06382
124,"Bloomington city, Minnesota",1600000US2706616,49155,49155,71043,49155,-888888888.0,0,21888,48254,901,-999999999,-999999999,24642,24286,37883,24642,-999999999,-999999999,27,06616
125,"Plymouth city, Minnesota",1600000US2751730,46996,46916,64074,46916,-888888888.0,80,17078,45641,1275,6065,5008,22007,21522,31931,22087,11201,8723,27,51730
126,"Kansas City city, Missouri",1600000US2938000,268799,268328,391865,268328,-888888888.0,471,123066,255698,12630,36536,25640,130792,126032,202364,130825,70237,55147,29,38000
127,"Lee's Summit city, Missouri",1600000US2941348,52004,52004,77366,52004,-888888888.0,0,25362,50489,1515,6682,4708,-999999999,-999999999,-999999999,-999999999,17863,14234,29,41348
