,STATE,zipcode,N1,N02650,A02650,avg_income
345,AL,36006,570.0,570.0,27550.0,48.333333333333336
346,AL,36009,1040.0,1040.0,49981.0,48.058653846153845
347,AL,36010,2050.0,2050.0,79561.0,38.810243902439026
348,AL,36013,200.0,200.0,19008.0,95.04
349,AL,36016,1210.0,1210.0,45317.0,37.45206611570248
350,AL,36017,490.0,490.0,16470.0,33.61224489795919
351,AL,36020,540.0,540.0,23387.0,43.30925925925926
352,AL,36022,5840.0,5840.0,367534.0,62.933904109589044
353,AL,36024,2690.0,2690.0,162230.0,60.30855018587361
354,AL,36025,1660.0,1660.0,78723.0,47.42349397590361
355,AL,36026,430.0,430.0,27728.0,64.48372093023256
356,AL,36027,5980.0,5980.0,258958.0,43.304013377926424
357,AL,36028,680.0,680.0,28594.0,42.05
358,AL,36029,410.0,410.0,23232.0,56.66341463414634
359,AL,36030,190.0,190.0,7070.0,37.21052631578947
360,AL,36032,1040.0,1040.0,35631.0,34.260576923076925
361,AL,36033,1510.0,1510.0,58847.0,38.97152317880795
362,AL,36034,310.0,310.0,12796.0,41.27741935483871
363,AL,36035,770.0,770.0,35303.0,45.848051948051946
364,AL,36036,790.0,790.0,33094.0,41.89113924050633
365,AL,36037,5340.0,5340.0,228804.0,42.84719101123596
366,AL,36039,100.0,100.0,3246.0,32.46
367,AL,36040,1540.0,1540.0,47771.0,31.02012987012987
368,AL,36041,580.0,580.0,23270.0,40.12068965517241
369,AL,36042,550.0,550.0,23367.0,42.485454545454544
370,AL,36043,1590.0,1590.0,90822.0,57.12075471698113
371,AL,36046,590.0,590.0,27179.0,46.066101694915254
372,AL,36047,570.0,570.0,22921.0,40.21228070175439
373,AL,36048,530.0,530.0,18878.0,35.6188679245283
374,AL,36049,2230.0,2230.0,103160.0,46.26008968609865
375,AL,36051,900.0,900.0,42368.0,47.07555555555555
376,AL,36052,350.0,350.0,34394.0,98.26857142857143
377,AL,36053,780.0,780.0,25441.0,32.61666666666667
378,AL,36054,6740.0,6740.0,344126.0,51.05727002967359
379,AL,36064,5040.0,5040.0,515736.0,102.32857142857142
380,AL,36066,8990.0,8990.0,549623.0,61.13715239154616
381,AL,36067,11040.0,11040.0,597797.0,54.14827898550725
382,AL,36069,790.0,790.0,38431.0,48.64683544303797
383,AL,36071,340.0,340.0,12142.0,35.71176470588235
384,AL,36075,840.0,840.0,36102.0,42.97857142857143
385,AL,36078,5650.0,5650.0,288362.0,51.03752212389381
386,AL,36079,3690.0,3690.0,186243.0,50.47235772357723
387,AL,36080,1040.0,1040.0,66108.0,63.565384615384616
388,AL,36081,5750.0,5750.0,306045.0,53.22521739130435
389,AL,36083,3340.0,3340.0,110266.0,33.01377245508982
390,AL,36088,990.0,990.0,28125.0,28.40909090909091
391,AL,36089,2920.0,2920.0,97095.0,33.25171232876713
392,AL,36091,1490.0,1490.0,67326.0,45.18523489932886
393,AL,36092,8650.0,8650.0,438835.0,50.732369942196534
394,AL,36093,5140.0,5140.0,396270.0,77.09533073929961
395,AL,36104,2630.0,2630.0,112406.0,42.73992395437262
396,AL,36105,4270.0,4270.0,143247.0,33.547306791569085
397,AL,36106,6560.0,6560.0,530699.0,80.89923780487806
